Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Haiti,HTI,..,..,1.85497999191284,1.38776004314423,1.49846994876862,1.63715994358063,1.08414978067408,1.11353641558643,1.24275181117048,1.02689812206798,0.964648012977964,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Honduras,HND,..,..,6.41297006607056,6.09509492079297,5.74434396129576,6.05646991729736,5.98198266311593,6.09801328648889,5.88160201792279,4.48280030802056,4.54962037172702,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Hong Kong SAR, China",HKG,2.46608996391296,..,3.26212000846863,3.29269003868103,3.30989003181458,3.32624006271362,3.81017994880676,4.40562009811401,4.00030994415283,3.72866010665894,3.80327010154724,3.80804991722107
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Hungary,HUN,5.43190002441406,4.86840009689331,4.49539995193481,4.61547994613647,4.64757013320923,4.62343978881836,4.22488021850586,4.1535701751709,4.68406009674072,3.81258988380432,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Iceland,ISL,4.25862979888916,6.4314398765564,7.4579701423645,7.43219995498657,7.58385992050171,7.56349992752075,7.60129976272583,8.58382987976074,8.20907974243164,7.28923988342285,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,India,IND,..,4.32479000091553,4.11457014083862,4.25407981872559,4.30544996261597,4.36373996734619,3.89732003211975,4.29335021972656,4.62949991226196,4.09865814174589,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Indonesia,IDN,..,..,3.58360004425049,1.21023452496964,1.05324382490056,0.994436460846179,0.964399077622927,1.01593221347809,1.03221750658374,0.863943349575907,1.27517088245674,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Iran, Islamic Rep.",IRN,3.77391004562378,4.03064012527466,2.62911009788513,3.17396998405456,3.45956993103027,3.61979007720947,3.24005007743835,3.20495009422302,..,2.6699800491333,2.82443290958712,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ireland,IRL,4.60056018829346,4.13225984573364,3.62438011169434,3.65882992744446,3.37737989425659,3.30347990989685,3.22984004020691,3.19163990020752,2.904629945755,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Israel,ISR,5.16932010650635,5.94367980957031,5.81091022491455,5.82047986984253,6.0248498916626,6.08776998519897,6.08409023284912,6.50303983688354,6.16908979415894,5.93496990203857,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Italy,ITA,..,4.27994012832642,4.05422019958496,3.795490026474,4.02662992477417,4.24093008041382,4.07843017578125,4.41802978515625,4.17118978500366,4.0698299407959,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jamaica,JAM,4.7791600227356,4.98346996307373,5.45522022247315,5.31461000442505,5.26016998291016,5.41380977630615,5.16364002227783,5.38065828197341,5.63123989105225,5.35435009002685,5.65453693979426,5.51383018493652
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Japan,JPN,..,3.46011996269226,3.31221008300781,3.14643001556396,3.13057994842529,3.07782006263733,3.15533995628357,3.30628991127014,3.33563995361328,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jordan,JOR,..,..,3.71272133351629,3.45282006263733,3.21305990219116,2.95461988449097,2.98846006393433,3.55303483980158,3.13837003707886,3.15300011634827,3.51486315596325,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kazakhstan,KAZ,..,3.25661993026733,2.7885799407959,2.97810006141663,2.75081992149353,2.61595010757446,2.8569700717926,4.44620380169618,4.38569397571466,4.36185360851405,4.84984016418457,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kenya,KEN,..,5.1867299079895,4.74350023269653,4.89518022537231,4.96308994293213,5.10761976242065,5.37359210998097,5.04574892454155,4.89040202257195,4.51101801829815,3.96229304413263,4.02242346098974
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kiribati,KIR,..,10.0424404144287,10.7683901960784,11.646473381295,11.4761649484536,12.9204194888179,14.5197413461539,16.2303756141975,13.9871516883117,14.7860312820513,16.39053,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Korea, Rep.",KOR,3.03873991966248,..,4.45423984527588,4.33309984207153,4.32823991775513,4.45807981491089,4.68465995788574,4.8017201423645,4.86627006530762,5.81446981430054,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kuwait,KWT,..,..,..,5.95593958839578,6.35444222156987,6.39165256830382,6.72789551402991,6.24513034913966,7.76246706467929,6.58236499988891,5.0262608311279,6.43592667889685
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kyrgyz Republic,KGZ,..,3.50838994979858,5.98550987243652,6.58615016937256,6.02618980407715,5.55267000198364,5.08025979995728,5.7331600189209,5.16667985916138,7.16884382244099,6.82694680798777,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lao PDR,LAO,..,1.50369000434876,2.73689787884215,2.77442976110388,2.49797261414021,2.33501229018316,2.12201393748998,1.91597273223857,1.85949176876536,1.46083440434069,1.23375160355741,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latvia,LVA,3.57779002189636,5.40854978561401,5.46670007705688,4.82350015640259,4.52905988693237,4.39430999755859,4.58675003051758,4.99749994277954,4.76752996444702,4.31920003890991,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lebanon,LBN,..,..,..,2.17820270841405,2.21606844423238,2.6165251225734,2.51957250612723,2.4354185601396,..,1.33151427628711,1.50416361108086,1.22490869993085
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lesotho,LSO,..,10.0915498733521,7.64272055728181,7.55247411216023,8.1553201675415,7.28360986709595,..,..,..,..,7.29011355590957,6.62253066096596
